text,migration_relevance,compound_polarity,negative_polarity,neutral_polarity,positive_polarity
nike air jordan 1 retro high og shattered backboard sz 105 backboards sbb,0.0,-0.4767,0.22,0.78,0.0
jordan_bridges but thats so cruel,0.0,-0.8316,0.63,0.37,0.0
rt darthputinkgb divide thine enemy1 fund a tyrants slaughter creating migrants2 critisize eu migrant policy3 fund anti migrant p,0.0,-0.0258,0.118,0.769,0.113
rt landesignuk need assistance with planning minerals and nature conservation specialists and general planning work shireshour http,0.0,0.0,0.0,1.0,0.0
rt godlwt yall larry is real me give me proof- yall gets hundreds of receipts me,0.0,0.0,0.0,1.0,0.0
fact sheet the its on us campaign launches new psa marks one-year since launch of its on us campaign t,0.0,0.0,0.0,1.0,0.0
mis_lexis i have a soft spot in my heart for borders i cant stand bampn,0.0,0.0,0.0,1.0,0.0
rt dazedmagazine get your first look at nymphomaniac actress stacy martins miumiuofficial campaign,0.0,0.0,0.0,1.0,0.0
rt woridstarcomedy parking on campus,0.0,0.0,0.0,1.0,0.0
rt zulemacampoy thnks fr th mmrs,0.0,0.0,0.0,1.0,0.0
robyn urback are you a breathing eligible voter tom mulcair has a campaign promise for you via fullcomment,0.0,0.3182,0.0,0.867,0.133
rt chpsre rt hrw rt bouckap now that germany has agreed 2 take syrianrefugees stuck in hungary other eu countries sho,0.0,0.0258,0.09,0.814,0.095
can you afford to give 10 a month and provide a young girl direct relief from child sexual exploitation click,0.0,0.4767,0.0,0.846,0.154
rt samaritanscymru jamesldowns gofal_ campaigning for refresh of eating disorders framework for wales patien,0.0,0.0,0.0,1.0,0.0
crossing the bar japanese-ceiling re japanese cuisines yol,0.0,0.0,0.0,1.0,0.0
rt gisela_estep photo of syrian refugee in beirut selling pens on the street goes viral humanrights reuters,0.0,0.0,0.0,1.0,0.0
aravindbk passionate about your hobby and want to take it to another level follow ebayindias shemeansbusiness campaign,0.0,0.5719,0.0,0.761,0.239
if scottwalkers canada wall on serious news shows just a joke - campaign should be taken same way uniteblue p2,0.0,0.2263,0.067,0.821,0.113
that tree that fell down at the tempe campus is famous ive seen it in about 10 stories on snapchat,0.0,0.0,0.0,1.0,0.0
rt jamsla16 troops recapture northeast border town of gamboru ngala,0.0,0.0,0.0,1.0,0.0
hundreds of refugees arrive in vienna and munich ajenews,1.0,0.0,0.0,1.0,0.0
10000 icelanders offer to house syrian refugees after authors call - via telegraph,1.0,0.0,0.0,1.0,0.0
rt elizrael after the gov of iceland agreed to resettle only 50 refugees 10000 icelanders offer to personally house refugees,1.0,0.2732,0.0,0.9,0.1
rt afp breaking 3650 migrants reached vienna by train monday new daily record police,1.0,0.1027,0.0,0.903,0.097
thousands of icelanders have volunteered to take syrian refugees into their homes,1.0,0.0,0.0,1.0,0.0
migrants arrive at german rail stations bbc - found 36 minutes ago hundreds of migrants,1.0,0.0,0.0,1.0,0.0
rt hungarytoday austria stops budapest-munich train packed with 300 migrants at its border with hungary http,1.0,-0.1531,0.096,0.904,0.0
rt melissarfleming 10000 icelanders offer to house syrian refugees after authors call humanity,1.0,0.0,0.0,1.0,0.0
rt nedadmemic 3650 refugees arrived at viennas westbahnhof station yday only 6 of them applied for an asylum in austria others w,1.0,0.0,0.0,1.0,0.0
rt bouckap 2day we will b on serbia-hungary razor wire fence pls help our campaign 4 syriarefugees w rts solidarity amp humanity not fe,1.0,0.6369,0.0,0.744,0.256
ticket to freedom as refugees arrive in germany kabari,1.0,0.6369,0.0,0.656,0.344
rt melissarfleming 10000 icelanders offer to house syrian refugees after authors call humanity,1.0,0.0,0.0,1.0,0.0
rt davidkrutzler westbahnhof refugees are welcomed in vienna austria,1.0,0.34,0.0,0.769,0.231
breaking news 3650 migrants reached vienna by train yesterday new daily record police say - afp,1.0,0.1027,0.0,0.909,0.091
hungarys border fence isnt stopping desperate syrian migrants - time,1.0,0.3412,0.0,0.673,0.327
rt fid1dec 10000 icelanders offer to house syrian refugees after authors call - human response v government resp,1.0,0.0,0.0,1.0,0.0
rt bouckap 2day we will b on serbia-hungary razor wire fence pls help our campaign 4 syriarefugees w rts solidarity amp humanity not fe,1.0,0.6369,0.0,0.744,0.256
refugees offered homes in iceland land of warm hearted wonderful people bravo,1.0,0.6808,0.0,0.641,0.359
rt afp breaking 3650 migrants reached vienna by train monday new daily record police,1.0,0.1027,0.0,0.903,0.097
rt presstv over 80k dollars raised through crowdfunding for syrian refugee syrianrefugees,1.0,0.0,0.0,1.0,0.0
rt afp breaking 3650 migrants reached vienna by train monday new daily record police,1.0,0.1027,0.0,0.903,0.097
rt nytimesworld refugees wait for their moment then make a dash under razor wire forhungary,1.0,0.0,0.0,1.0,0.0
rt euractiv trainloads of migrants reach austria germany as eu asylum system collapses,1.0,-0.2732,0.154,0.769,0.077
rt bouckap now that germany has agreed 2 take syrianrefugees stuck in hungary other eu countries should be as generous and welcome t,1.0,0.7506,0.073,0.62,0.307
rt bouckap now that germany has agreed 2 take syrianrefugees stuck in hungary other eu countries should be as generous and welcome t,1.0,0.7506,0.073,0.62,0.307
rt afp breaking budapests main railway station has ordered everyone to leave as hundreds of migrants tried to board trains to austria a,1.0,-0.0516,0.054,0.946,0.0
migrant trains arrive in austria as crisis deepens,1.0,-0.6249,0.369,0.631,0.0
mondays migrant influx by rail to vienna biggest this year police a total of 3650 migrants reached vienna,1.0,0.1027,0.0,0.92,0.08
rt mortezataghavi4 hungary detains 5th suspect in trafficking of 71 migrants who died in truck found in austria p,1.0,-0.7003,0.266,0.734,0.0
rt 7piliers hundreds of refugees arrive in vienna and munich via ajenews,1.0,0.0,0.0,1.0,0.0
egyptian navy bombards african refugees in open sea trying to reach europe via spideypeter1,1.0,0.0258,0.0,0.922,0.078
rt hrw rt bouckap now that germany has agreed 2 take syrianrefugees stuck in hungary other eu countries sho,1.0,0.0258,0.1,0.796,0.104
rt elizrael after the gov of iceland agreed to resettle only 50 refugees 10000 icelanders offer to personally house refugees,1.0,0.2732,0.0,0.9,0.1
rt aureliabailly migrantcrisis hungary line of vehicules waiting for a check control by austrian in hegyeshalom afp by afpattila htt,1.0,0.0,0.0,1.0,0.0
rt afp breaking budapests main railway station has ordered everyone to leave as hundreds of migrants tried to board trains to austria a,1.0,-0.0516,0.054,0.946,0.0
rt skynewsbreak hungary has closed budapests main eastern keleti railway station - no trains departing or arriving and hundreds of mig,1.0,-0.296,0.104,0.896,0.0
al jazeera english thousands of refugees arrive in vienna and munich thank god poor adolf is not around to see this,1.0,0.128,0.121,0.7,0.179
rt bouckap many syrianrefugees keleti hungary losing hope 2 take trains 2 germany looking at dangerous smuggling tragedies waitin,1.0,-0.8316,0.44,0.451,0.109
record number of migrants arrive in vienna headlinesapp,1.0,0.0772,0.0,0.843,0.157
budapests main railway station has been evacuated and shut thousands of migrants have been taking trains from there to austria and germany,1.0,0.0,0.0,1.0,0.0
rt ap hungary shuts down rail traffic at main budapest station to prevent migrants from boarding,1.0,0.0258,0.0,0.932,0.068
reuters migrant trains reach germany as eu asylum system creaks viennamunich reuters - trainloads of mi,1.0,0.0258,0.0,0.927,0.073
rt chara_fc a refugee family leave a train coming from austria at the railway station in munich germany august 31refugees,1.0,-0.0516,0.066,0.934,0.0
rt alertnet hungary closes main budapest station hundreds of migrants waiting,1.0,0.0,0.0,1.0,0.0
rt naderkarim3 hungary detains 5th suspect in trafficking of 71 migrants who died in truck found in austria iran,1.0,-0.7003,0.254,0.746,0.0
rt anemonanyc morning commuters in budapest train station file past refugees waiting for passage to germany http,1.0,0.0,0.0,1.0,0.0
rt rt_com urgent all trains stopped at hungarian border due to influx of migrants - live now,1.0,-0.0258,0.107,0.791,0.102
rt mp_hennessy this is solidarity 10000 icelanders offer homes to syrian refugees,1.0,0.296,0.0,0.833,0.167
syrian children waitnot far from their relatives a train for germany in viennaaug31syrianrefugees refugees,1.0,0.0,0.0,1.0,0.0
rt brownaandlovely 5000 refugees amp migrants from myanmar and bangladesh found themselves stranded at sea,1.0,0.0,0.0,1.0,0.0
skyhigh police block budapest station to migrants migrants outside one of hungarys main stations chant ger,1.0,-0.4404,0.162,0.838,0.0
rt holbornlolz uk has accepted 140000 refugees and asylum seekerselection_data,1.0,0.2732,0.0,0.811,0.189
hundreds of migrants arrive in vienna the easiest way to make a good living,1.0,0.6908,0.0,0.659,0.341
hundreds of refugees arrive in vienna switch trains towards germany zurich hundreds of refugees arriving fr,1.0,0.0,0.0,1.0,0.0
packed trains reach germany as refugee visa checks are waived,1.0,0.0258,0.0,0.891,0.109
migrant trains reach munich station,1.0,0.0258,0.0,0.784,0.216
hungary closes budapest train station to stop migrant exodus west -,1.0,-0.296,0.196,0.804,0.0
breakingnews hungary shuts down rail traffic for westward-bound migrants,1.0,0.0,0.0,1.0,0.0
10000 icelanders have offered to take refugees into their homes asylum eu,1.0,0.0,0.0,1.0,0.0
although many of them did not have eu visas the refugees ended up staying the night in vienna and were welcomed with open arms by austrians,1.0,0.34,0.0,0.912,0.088
rt ruptly hundreds of refugees welcomed by jubilant crowds in munichwatch more,1.0,0.7506,0.0,0.61,0.39
rt nbcnews hungary closes budapest train station to stop migrant exodus west,1.0,-0.296,0.167,0.833,0.0
rt liamstack the people of iceland offered to accept 10000 syrian refugees at 300000 people iceland has a smaller population than sta,1.0,0.3818,0.0,0.885,0.115
rt middleeasteye 20000 people march in solidarity with refugees in vienna,1.0,0.296,0.0,0.82,0.18
migrant crisis budapest train service stopped as preventive measure,1.0,-0.7184,0.462,0.538,0.0
rt chara_fc refugees leave a train coming from austria at the railway station in munich germany august 31trainofhope,1.0,-0.0516,0.07,0.93,0.0
border guards receive new 99 syrian refugees amman sep1 petra- a total of 99 syrian refugees from various,1.0,0.0,0.0,1.0,0.0
hungary reopens railway station migrants kept out mti,1.0,0.0,0.0,1.0,0.0
rt dwnews budapest vienna train stations overwhelmed with refugees,1.0,0.0516,0.0,0.87,0.13
rt rgcooke sweden population 10 million will this year take in 100000 syrian refugees australia population 23 million will take i,1.0,0.0,0.0,1.0,0.0
migrants barred from hungary station hundreds of migrants protest outside a majo,1.0,-0.25,0.167,0.833,0.0
hungary detains 5th suspect in trafficking of 71 migrants who died in truck found in austria bbc iran headline,1.0,-0.7003,0.254,0.746,0.0
rt business hundreds of refugees arrive in germany after police in hungary and austria let them travel by train,1.0,0.0,0.0,1.0,0.0
migrant trains reach germany as eu asylum system creaks,1.0,0.0258,0.0,0.879,0.121
rt arwacnn refugees demo at budapest train station after hungary shuts it down chants 4 un un they just want 2 get out,1.0,0.0772,0.0,0.939,0.061
migrants barred from hungary station newborder,1.0,0.0,0.0,1.0,0.0
rt france24 breaking more than 350000 migrants have crossed the mediterranean since january iom,1.0,0.0,0.0,1.0,0.0
rt france24_en breaking more than 350000 migrants have crossed the mediterranean since january iom,1.0,0.0,0.0,1.0,0.0
rt chara_fc refugees children sit in front police as train heading for austriastopped for checks at border station hegyeshalom http,1.0,0.0,0.0,1.0,0.0
hungary closes main budapest station to refugees,1.0,0.0,0.0,1.0,0.0
rt anemonanyc keleti train station budapest officially shut to migrants un un and why why why thousands shout outside,1.0,0.0,0.0,1.0,0.0
rt chara_fc refugees receive food after they arrived at a railway station in vienna austriasept 1 refugeeswelcome,1.0,0.0,0.0,1.0,0.0
more than 11000 icelanders offer to house syrian refugees to help european crisis,1.0,-0.34,0.23,0.618,0.152
rt chara_fc refugees receive food after they arrived at a railway station in vienna austriasept 1 refugeeswelcome,1.0,0.0,0.0,1.0,0.0
10000 icelanders offer to house syrian refugees after authors call - via telegraph humanrights,1.0,0.0,0.0,1.0,0.0
rt tommayereuropa 230am train station salzburg 1500 refugees 100 babiesampchildren supermarket opens to send babyfood drinks snacks,1.0,0.0,0.0,1.0,0.0
rt tommayereuropa look at this picture from train station vienna westbahnhof hundreds of citizens waiting for 1500 refugees,1.0,0.0,0.0,1.0,0.0
rt tommayereuropa 230am train station salzburg 1500 refugees 100 babiesampchildren supermarket opens to send babyfood drinks snacks,1.0,0.0,0.0,1.0,0.0
rt rgcooke germany has dropped eu rules to take in more than 800000 refugees this year alone,1.0,-0.25,0.111,0.889,0.0
thousands of refugees arrive in vienna and munich,1.0,0.0,0.0,1.0,0.0
rt alarabiya_eng 3650 migrants reach vienna in record high,1.0,0.0258,0.0,0.879,0.121
rt independent more than 11000 icelanders are offering syrian refugees their homes,1.0,0.0,0.0,1.0,0.0
top story in vienna trains packed with migrants are welcomed and ushered on see more,1.0,0.4939,0.0,0.756,0.244
rt ajenews trains from hungary carrying hundreds of refugees arrive in vienna and munich,1.0,0.0,0.0,1.0,0.0
rt refugeesce greek coastguard rescues 25k refugees over the last three days,1.0,0.3182,0.0,0.827,0.173
more than 350000 migrants have crossed mediterranean this year iom,1.0,0.0,0.0,1.0,0.0
rt hindolsengupta germany is taking in 800000 syrian etc refugees this year how many are qatar which finances the voice of the muslim,1.0,0.0,0.0,1.0,0.0
rt me_mo_mag a syrian refugee already landed at tabanovcs train station after the long trip through macedonia the,1.0,0.0,0.0,1.0,0.0
rt itvnews on itv news 130pmmigrants protest closure of budapest station satellite images of palmyra deadlineday latest,1.0,-0.25,0.111,0.889,0.0
rt free_media_hub refugee crisis hundreds arrive at austria station via buypens,1.0,-0.6249,0.291,0.709,0.0
42k people in two months chilling video report by lindseyhilsum on the syria refugee crisis macedonia greece,1.0,-0.6369,0.257,0.743,0.0
we need to take 10000 refugees and not give in to fear says yvettecoopermp via huffpostukpol,1.0,-0.4939,0.176,0.824,0.0
yvette cooper uk should take in 10000 refugees from middle east,1.0,0.0,0.0,1.0,0.0
rt riserefugee iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes,1.0,0.0,0.0,1.0,0.0
rt dwnews good news too germans helping refugees during migration crisis,1.0,-0.0,0.238,0.465,0.297
rt matinastevis in recently bankrupt non-eu member iceland of 300k citizens 10000 offer homes to refugees what were you saying http,1.0,-0.5574,0.153,0.847,0.0
rt msf_sea hi frontexeu the majority of arrivals to greece are refugees from syria please stop calling them migrants it is factuall,1.0,0.0258,0.09,0.816,0.094
unus promised to protect iranian refugees in campashraf iraq we demand answers 2 years after abduction of 7residents disappeared,1.0,-0.2732,0.285,0.514,0.202
rt dwnews in pictures refugees stuck in budapest as police closes train station,1.0,-0.25,0.143,0.857,0.0
rt melissarfleming 10000 icelanders offer to house syrian refugees after authors call humanity,1.0,0.0,0.0,1.0,0.0
rt sophiabush what a shining human moment read this rt guardian icelanders call on government to take in more syrian refugees,1.0,0.0,0.0,1.0,0.0
rt time thousands of icelanders have offered to take syrian refugees into their own homes,1.0,0.0,0.0,1.0,0.0
rt oliviawilde wow while we try to throw people out and build a wall others are opening their homes to refugees true humanity https,1.0,0.765,0.0,0.761,0.239
rt slate iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes,1.0,0.0,0.0,1.0,0.0
the way ordinary people in europe are reacting to the refugee crisis in their countries is heartwarming great humanity and solidarity,1.0,0.6486,0.134,0.557,0.308
who are the refugees risking their lives migrants have been heading to europe in record numbers and most are refugees fleeing thei,1.0,-0.3182,0.099,0.901,0.0
thousands in iceland say theyll welcome syrian refugees into their homes,1.0,0.4588,0.0,0.769,0.231
yvette cooper uk should take in 10000 refugees from middle east labour unelectable 2015 ethnic vote swing 2120,1.0,0.0,0.0,1.0,0.0
rt paul_dillane inspiring go iceland - thousands of icelanders are offering syrian refugees their homes refugee,1.0,0.4215,0.0,0.833,0.167
thousands in iceland say theyll welcome syrian refugees into their homes letsnurture,1.0,0.4588,0.0,0.786,0.214
thousands in iceland say theyll welcome syrian refugees into their homes europe is struggling to come to ter,1.0,0.0516,0.128,0.734,0.138
rt helenpidd 10000 icelanders offer to house syrian refugees ltltany appetite for the same in the ukgtgt,1.0,0.0,0.0,1.0,0.0
rt c3o 20000 at refugeeswelcome march in vienna lt3 photo urbanderstandard,1.0,0.0,0.0,1.0,0.0
rt mashable thousands in iceland say theyll welcome syrian refugees into their homes,1.0,0.4588,0.0,0.8,0.2
thousands in iceland say theyll welcome syrian refugees into their homes,1.0,0.4588,0.0,0.769,0.231
organo gold keleti train station in budapest temporarily shuts down amid migrant crisis gtgt,1.0,-0.6249,0.24,0.76,0.0
thousands in iceland say theyll welcome syrian refugees into their homes,1.0,0.4588,0.0,0.769,0.231
rt faisalislam munich police overwhelmed with too much help from germans for refugees polizeimuenchen via matinastevis,1.0,0.4404,0.0,0.782,0.218
germanys merkel says refugees should be distributed fairly across eu,1.0,0.0,0.0,1.0,0.0
rt maxcroser icelands government wanted to accept 50 syrian refugeesicelanders reaction see screenshot http,1.0,0.3818,0.0,0.833,0.167
rt sarafeed incredible gt thousands of icelanders are offering syrian refugees their homes,1.0,0.2732,0.0,0.851,0.149
rt time thousands of icelanders have offered to take syrian refugees into their own homes,1.0,0.0,0.0,1.0,0.0
rt kent_babylon yvette cooper calls on david cameron to accept 10000 fleeing syrians daily mail online totally agree refugees http,1.0,0.659,0.0,0.769,0.231
love this 11000 icelanders offer their homes to syrian refugees migrants refugees tocalaiswithlove refugeecrisis,1.0,0.6369,0.0,0.756,0.244
rt jenniferpadjemi iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes via sla,1.0,0.0,0.0,1.0,0.0
rt slate iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes,1.0,0.0,0.0,1.0,0.0
photos fear and frustration on the faces of syrian refugees at the edges of europe via qz,1.0,-0.743,0.296,0.704,0.0
rt occuworld iceland said it would only take 50 syrian refugees so 10000 icelanders offered up their own homes,1.0,0.0,0.0,1.0,0.0
merkel refugee flood means world sees germany as country of hope,1.0,0.4404,0.0,0.775,0.225
awww people are beautiful iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes,1.0,0.5994,0.0,0.804,0.196
what is the situation in keleti are there any signs that refugees can leave by train any informations about other trainstations,1.0,-0.0516,0.057,0.943,0.0
rt matinastevis in recently bankrupt non-eu member iceland of 300k citizens 10000 offer homes to refugees what were you saying http,1.0,-0.5574,0.153,0.847,0.0
rt bouckap hungary police give water food 2 newly arrived syrianrefugees after exhausting walk from serbia,1.0,-0.3612,0.152,0.848,0.0
chaos in hungary as 1000 migrants force evacuation of budapest station after trying to board train ubertalks,1.0,-0.5719,0.188,0.812,0.0
rt harryslaststand remember driving in 1945 across liberated europe amp seeing the endless columns of refugees heading west away from war,1.0,-0.5994,0.163,0.837,0.0
integritet melissarfleming if europe opened borders to refugees millions will come not cause they need it only cause they can,1.0,0.0,0.0,1.0,0.0
rt martinkaul see the picture of the girl refugees in budapest keleti asking for asylum in germany refugeeswelcome,1.0,0.0,0.0,1.0,0.0
rt mudar_zahran why syrian refugees are choosing europe despite risk to save their women from being married to arab men in exchange of f,1.0,-0.2057,0.103,0.825,0.071
france criticises hungarys fence to stop migrants,1.0,-0.5423,0.474,0.526,0.0
rt theeconomist people who cross deserts and seas to reach europe are unlikely to be slackers when they arrive htt,1.0,0.0258,0.0,0.945,0.055
rt orapmagon proud about 20000 people took to the streets of vienna on monday to demonstrate against ill-treatment of refugees http,1.0,0.4767,0.0,0.866,0.134
rt donrok this arabic graffiti train is running in dresden welcoming refugees ahlan wa sahlan - a warm welcome,1.0,0.7783,0.0,0.642,0.358
rt peterc17 if youre going to bombinvadedisplace the government of a country you should be more welcoming to the inevitable refugees f,1.0,0.4927,0.0,0.856,0.144
rt souidos respect to vienna refugeesgr refugeeswelcome refugeecrisis,1.0,0.4767,0.0,0.693,0.307
rt themoedee a train in germany reads welcome in arabic to welcome syrian refugees humanity lives in this country,1.0,0.7184,0.0,0.727,0.273
rt bershidsky im glad germany welcomes refugees it accepted our family too when we needed it and im happy to pay for it to take in,1.0,0.8779,0.041,0.619,0.339
rt proftahirmalik azazsyed ahmad_noorani austrian people gave shelter gifts 2 syrian refugees while gulf state ksakuwait did nothing ht,1.0,0.0,0.0,1.0,0.0
rt joyciemannie what chaos quiet orderly scenes as refugees arrive at munich train station from budapest,1.0,-0.5719,0.198,0.802,0.0
rt oliviawilde wow while we try to throw people out and build a wall others are opening their homes to refugees true humanity https,1.0,0.765,0.0,0.761,0.239
iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes via slate,1.0,0.0,0.0,1.0,0.0
munich police are inundated with donations for refugees and are asking the public to stop bringing stuff for now,1.0,-0.296,0.109,0.891,0.0
rt taraobrady iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes via slate,1.0,0.0,0.0,1.0,0.0
rt matinastevis in recently bankrupt non-eu member iceland of 300k citizens 10000 offer homes to refugees what were you saying http,1.0,-0.5574,0.153,0.847,0.0
rt cnnireport with no food sleep crowds of syrian refugees pass through germany photos by fpleitgencnn http,1.0,-0.296,0.121,0.879,0.0
rt newgreatgame this is how one german town welcomed a coach-load of syrian refugees refugeeswelcome,1.0,0.34,0.0,0.844,0.156
rt ruptly refugee influx prompts police to shut down budapest main station,1.0,0.0,0.0,1.0,0.0
rt huffpostuk a refugee in germany has named her baby angela merkel no news yet of any david camerons in uk http,1.0,-0.296,0.099,0.901,0.0
rt tommayereuropa look at this picture from train station vienna westbahnhof hundreds of citizens waiting for 1500 refugees,1.0,0.0,0.0,1.0,0.0
rt ianbremmer july 107500 refugees reached eu borders1st time past 100k mark in a single month,1.0,0.1027,0.0,0.909,0.091
unbelievable african migrant hides inside car engine to enter spain generalnews latest,1.0,0.0258,0.126,0.741,0.133
rt maxcroser icelands government wanted to accept 50 syrian refugeesicelanders reaction see screenshot http,1.0,0.3818,0.0,0.833,0.167
migrant chaos at budapest train station germany says eu rules still hold - reut,1.0,-0.5719,0.236,0.764,0.0
rt taraobrady iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes via slate,1.0,0.0,0.0,1.0,0.0
rt cnnireport with no food sleep crowds of syrian refugees pass through germany photos by fpleitgencnn http,1.0,-0.296,0.121,0.879,0.0
rt afp a market for fake syrian passports springs up says head of europes border agency,1.0,-0.4767,0.181,0.819,0.0
rt drpaulhowe hungary stops migrants boarding trains to germany as migrants and refugees continue to make the journey to co,1.0,-0.1531,0.078,0.922,0.0
rt brontyman iceland said it could only accept 50 syrian refugees then 10000 big-hearted icelanders offered up their homes,1.0,0.3818,0.0,0.874,0.126
rt chara_fc 1000s icelanders called on their govt to take in more syrianrefugeesmany offering to house them in their own homes,1.0,0.0,0.0,1.0,0.0
rt independent german people donated so much to refugees that police had to ask them to stop,1.0,-0.296,0.121,0.879,0.0
protests swell in budapest as police shut train station migrants seeking refuge from the instability of syria,1.0,-0.2263,0.106,0.894,0.0
rt lizsly hey world the reason theres a refugee crisis in europe is that theres a mega-tragedy going on in the middle east,1.0,-0.6249,0.17,0.83,0.0
rt gerryhassan iceland really is a tremendous society 10000 icelanders have offered to house syrian refugees in their homes,1.0,0.0,0.0,1.0,0.0
rt 38_degrees football fans said refugeeswelcome in germany this weekend rt if you think the uk should step up to the mark,1.0,0.0,0.0,1.0,0.0
rt syndicalisms hungary keleti now in solidarity with refugees refugeeswelcome,1.0,0.296,0.0,0.804,0.196
rt ajplus some people in europe are offering a warm welcome to refugees,1.0,0.5994,0.0,0.671,0.329
rt amyinthedesert 10000 icelanders offer to house syrian refugees after authors call via telegraph,1.0,0.0,0.0,1.0,0.0
rt mirakamdar a lesson for us all thousands of icelanders are offering syrian refugees their homes on fb https,1.0,0.0,0.0,1.0,0.0
a tale of two train stations scenes from europe as refugees seek shelter,1.0,0.0,0.0,1.0,0.0
from turkey to sweden syrian migrants perilous journey syrian migrants perilous journey from turkey to sweden,1.0,0.0,0.0,1.0,0.0
rt amyinthedesert 10000 icelanders offer to house syrian refugees after authors call via telegraph,1.0,0.0,0.0,1.0,0.0
rt ftwestminster cooper urges uk to take 10000 refugees,1.0,0.0,0.0,1.0,0.0
rt haaretzcom berlin couple launches website matching refugees with roommates in germany austria,1.0,0.0,0.0,1.0,0.0
a tale of two train stations scenes from europe as refugees seek shelter,1.0,0.0,0.0,1.0,0.0
rt mobinmalikspeak syrian refugees kids at shelter school in darmstadthessengermany more thn 5000 syrians registered here in germany ht,1.0,0.0,0.0,1.0,0.0
rt doberah we love germany cry relieved refugees at munich station afp reportage via yahoonews,1.0,0.5719,0.142,0.548,0.311
rt maxcroser icelands government wanted to accept 50 syrian refugeesicelanders reaction see screenshot http,1.0,0.3818,0.0,0.833,0.167
rt scamp_faridxx respect to the germans for refugeeswelcome amp shame to the dutch racists who are slowly becoming the laughing stock of,1.0,-0.0772,0.214,0.583,0.204
rt nytimesworld a dramatic tale of syrian refugees plotting each move until they make it to hungary,1.0,0.0,0.0,1.0,0.0
rt newsrevo icelanders call on government to take in more syrian refugees -,1.0,0.0,0.0,1.0,0.0
rt jenanmoussa amazing germany tarin in dresden welcoming refugees with arabic text you are welcome v donrok akhbar,1.0,0.8658,0.0,0.591,0.409
refugees welcome - austria lets thousands pass from hungary to germany,1.0,0.4588,0.0,0.75,0.25
rt subutcher thousands of icelanders offer to take syrian refugees into their homes,1.0,0.0,0.0,1.0,0.0
rt faisalislam munich police overwhelmed with too much help from germans for refugees polizeimuenchen via matinastevis,1.0,0.4404,0.0,0.782,0.218
rt faisalislam munich police overwhelmed with too much help from germans for refugees polizeimuenchen via matinastevis,1.0,0.4404,0.0,0.782,0.218
rt kbrady90 munich police overwhelmed with help for refugees ask german public to stop bringing supplies refugeeswelcome,1.0,0.1779,0.109,0.697,0.194
rt itvnews thousands of people from iceland have offered to take in syrian refugees,1.0,0.0,0.0,1.0,0.0
rt themockneyrebel thousands of refugees arrive in austria as the migrant crisis in europe continues,1.0,-0.6249,0.227,0.773,0.0
rt ajplus some people in europe are offering a warm welcome to refugees,1.0,0.5994,0.0,0.671,0.329
rt jenanmoussa amazing germany tarin in dresden welcoming refugees with arabic text you are welcome v donrok akhbar,1.0,0.8658,0.0,0.591,0.409
rt slate iceland caps syrian refugees at 50 10000 icelanders respond by offering their homes,1.0,0.0,0.0,1.0,0.0
rt kbrady90 a dresden train has been graffitied with the words for welcome in arabic refugeeswelcome,1.0,0.4588,0.0,0.824,0.176
rt brontyman iceland said it could only accept 50 syrian refugees then 10000 big-hearted icelanders offered up their homes,1.0,0.3818,0.0,0.874,0.126
rt mannfrednikolai syrian civil war refugeesturkey 1800000lebanon 1200000jordan 600000iraq 250000germany 105000sweden 4000,1.0,-0.5994,0.262,0.738,0.0
germony is going to take 800k refugees in a year overcoming nazi syndrome by being too humane,1.0,0.0,0.0,1.0,0.0
rt arwacnn syria refugee at budapest station can media spend night wus we r scared police will force us 2 camps or far right guys wi,1.0,-0.4404,0.112,0.888,0.0
rt bonn1egreer 195657-200000 refugees fled hungary and given asylum-via angusrobertsonrefugeecrisis,1.0,0.0,0.0,1.0,0.0
rt a_royomarine germany ready to accept 800000 refugees spain 2739 shame need4moreeurope,1.0,0.25,0.18,0.523,0.297
rt laurenyoung budapest train station closes to migrants in 2015 140000 crossed into hungary from serbia http,1.0,0.0,0.0,1.0,0.0
rt alexandrake ukraine 1450000 people are internally displaced map by unhcr refugees,1.0,0.0,0.0,1.0,0.0
rt bonn1egreer 195657-200000 refugees fled hungary and given asylum-via angusrobertsonrefugeecrisis,1.0,0.0,0.0,1.0,0.0
rt bbcnews wednesdays metro ten refugee families for every town via suttonnick tomorrowspaperstoday bbcpape,1.0,0.0,0.0,1.0,0.0
chaos in budapest train station amid europes migrant crisis chaos in budapest train station as hungary stops,1.0,-0.9201,0.502,0.498,0.0
latest shocking desperate african migrant caught hiding in cars engine in attempt to enter spain,1.0,-0.7351,0.375,0.625,0.0
rt rgcooke sweden population 10 million will this year take in 100000 syrian refugees australia population 23 million will take i,1.0,0.0,0.0,1.0,0.0
rt ghobadtavana migrant children recovering after being rescued from austria minivan news sms sydney,1.0,0.4215,0.0,0.823,0.177
there are 20 million refugees waiting at the doorstep of europe johannes hahn eu commissioner for european neighbourhood policy dvatw,1.0,0.0,0.0,1.0,0.0
